Name,Skittles,M&Ms,KitKat
"Barbet, black-collared",83,46,1
African bush squirrel,12,68,96
"Lizard, blue-tongued",12,35,12
"Pelican, great white",65,4,42
"Otter, canadian river",64,2,17
Wattled crane,84,67,93
"Partridge, coqui",5,90,68
"Cat, ringtail",55,79,100
American black bear,30,100,48
Water monitor,88,49,49
"Wombat, common",29,85,75
"Teal, hottentot",93,82,6
Pig-tailed macaque,23,66,94
"Duck, blue",75,57,36
American beaver,54,14,55
Gecko (unidentified),63,38,22
Cape raven,37,83,5
Great skua,78,50,72
"Seal, southern elephant",100,26,57
"Goose, snow",68,8,53
Tammar wallaby,82,79,9
African skink,21,32,16
"Jackal, golden",52,60,98
Gecko (unidentified),93,8,80
"Hyena, spotted",56,79,77
"Lechwe, kafue flats",73,14,19
Smith's bush squirrel,65,19,99
Northern phalarope,58,75,52
"Kookaburra, laughing",52,4,11
Bushbuck,24,10,99
Nelson ground squirrel,77,84,90
"Badger, european",34,14,12
"Gecko, barking",44,15,11
European stork,76,49,3
Frilled dragon,5,29,76
African black crake,9,85,34
White-throated kingfisher,57,65,52
Tawny eagle,84,9,4
"Capuchin, brown",62,36,21
"Penguin, magellanic",56,100,95
"Swan, trumpeter",12,23,14
"Tarantula, salmon pink bird eater",4,90,14
Rufous-collared sparrow,18,58,48
Sambar,30,63,96
Two-banded monitor,4,9,90
African lynx,57,89,43
"Colobus, magistrate black",54,82,49
"Siskin, pine",60,71,24
Crowned eagle,16,87,58
Long-billed cockatoo,85,88,19
Verreaux's sifaka,71,85,66
White-fronted bee-eater,31,46,55
Black-backed magpie,31,81,47
Crab-eating raccoon,1,59,38
Gaur,52,85,61
Yellow-crowned night heron,95,55,62
"Swan, black",59,63,41
Lily trotter,76,64,88
"Dove, white-winged",34,9,100
"Monkey, red howler",19,22,43
"Gecko, tokay",55,16,68
"Vulture, white-headed",18,4,74
"Kingfisher, pied",97,11,74
Bahama pintail,54,68,37
Two-toed sloth,5,52,89
"Cockatoo, red-tailed",67,56,89
Common wallaroo,62,51,26
Plains zebra,30,56,98
"Dragon, western bearded",3,6,70
"Langur, gray",53,8,86
Bent-toed gecko,58,71,47
Eastern white pelican,78,98,24
Thirteen-lined squirrel,86,17,22
Agama lizard (unidentified),70,78,49
"Lion, galapagos sea",10,84,96
"Ass, asiatic wild",54,6,78
"Dove, rock",49,18,48
Collared peccary,56,43,64
Guanaco,93,72,59
"Monkey, black spider",58,2,90
Eastern white pelican,63,42,47
Agouti,40,27,64
Bushbuck,65,64,100
Argalis,24,23,9
"Toucan, white-throated",48,92,90
Lapwing (unidentified),67,43,75
"Heron, striated",36,19,70
White-winged dove,24,30,9
Brown lemur,78,7,39
"Bear, polar",96,58,10
"Vulture, lappet-faced",76,17,5
"Possum, common brushtail",44,11,43
"Toucan, red-billed",5,87,22
"Peacock, indian",11,15,76
Red squirrel,68,64,44
Crimson-breasted shrike,65,66,27
"Sungazer, yellow-brown",72,19,28
Great egret,81,40,88
Moose,12,57,76
European stork,73,20,72
Roseate cockatoo,9,28,89
Defassa waterbuck,58,13,20
American buffalo,26,1,86
Buttermilk snake,95,21,31
"Boar, wild",96,34,82
"Nuthatch, red-breasted",30,52,50
"Rattlesnake, horned",79,31,30
Black-eyed bulbul,74,9,73
Reindeer,5,71,40
"Flycatcher, tyrant",7,37,30
Hudsonian godwit,8,38,63
Swainson's francolin,76,53,52
"Zebra, common",19,97,18
Marine iguana,31,8,22
Black vulture,89,11,93
Four-horned antelope,34,87,80
California sea lion,80,24,24
Caracal,76,61,64
Black kite,97,41,64
Purple moorhen,38,99,93
"Skimmer, four-spotted",74,94,63
"Deer, roe",88,73,50
"Eagle, long-crested hawk",30,92,13
"Teal, hottentot",39,40,36
"Shrike, southern white-crowned",34,92,3
Butterfly (unidentified),1,56,36
"Viper, egyptian",34,14,65
Ring-tailed coatimundi,27,28,65
Pocket gopher (unidentified),39,73,62
"Phalarope, grey",28,90,21
"Otter, oriental short-clawed",4,32,25
"Lion, steller sea",30,31,54
"Penguin, fairy",12,35,68
"Baboon, savanna",52,57,63
Great egret,55,54,72
Common goldeneye,94,21,65
Tammar wallaby,17,79,93
Black-footed ferret,18,28,79
"Rhea, common",12,90,63
Common green iguana,41,8,18
Madagascar fruit bat,79,84,44
Mallard,37,43,12
Black bear,77,50,10
"Penguin, little blue",72,4,12
"Leopard, indian",97,47,15
"Cormorant, flightless",40,98,70
"Jackal, indian",62,13,61
Andean goose,78,99,30
"Gull, lava",75,63,16
White-cheeked pintail,25,55,48
"Stork, woolly-necked",98,35,54
Goliath heron,22,1,26
"Falcon, prairie",6,41,14
"Hen, sage",64,3,77
"Dove, mourning collared",69,63,77
Rainbow lory,77,7,100
Klipspringer,81,84,18
Collared peccary,76,26,93
Ring-tailed lemur,96,42,36
"Toucan, white-throated",71,48,56
"Turaco, violet-crested",26,85,11
"Crane, sandhill",6,72,73
"Tortoise, radiated",43,82,97
Herring gull,64,30,98
